No,genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
69030,Reggaeton,Dayme y El High,Anda Conmigo (feat. Kevin Roldan & Amaro),2br33JDBCZzCJPVIII7ij8,,0.0172,0.787,196673,0.687,0.00000156,A#,0.118,-3.496,Minor,0.23,178.125,0.851
69031,Classical,Franz Liszt,"Liszt: 6 Consolations, S. 172: No. 3 in D-Flat Major",3uJBznA9LyFxD0A57NGbZh,,0.989,0.294,249267,0.00916,0.937,C#,0.234,-32.563,Major,0.032,77.857,0.0663
69032,Blues,King Curtis,Memphis Soul Stew,6MqfTP3OwngywVTOS5OAFt,,0.259,0.724,179413,0.601,0.237,B,0.111,-10.805,Minor,0.0634,113.227,0.886
69033,Jazz,The Crusaders,Street Life,5CtKsA5lA75wWaqxrC1r02,,0.361,0.537,678200,0.414,0.00119,F,0.0683,-15.31,Minor,0.0554,110.827,0.57
69034,Reggaeton,Caramelos De Cianuro,Retrovisor,1UjBsP5P19g1LuYrOPqCQU,,0.056,0.603,222380,0.887,0,F,0.113,-4.447,Major,0.0604,126.07,0.269
69035,Children's Music,The Countdown Kids,Wade in the Water,1lNH3lFHFYEsAH7kAR8gxC,,0.786,0.525,98907,0.4,0.00656,C,0.131,-11.68,Major,0.0292,116.165,0.383
69036,Children's Music,Preschool Kids,Beautiful Dreamer,0PWjxn3ZiXmZeLE6FvkLG4,,0.837,0.448,169218,0.3,0.00000471,F,0.245,-9.576,Major,0.0281,139.842,0.155
69037,Opera,Adolphe Adam,No. 13 Myrtha Summons Giselle,34ZaUsDVlGLU5m61XFbX9F,,0.981,0.114,70266,0.0203,0.0985,A,0.198,-29.39,Major,0.0476,179.529,0.0333
69038,Ska,Desmond Dekker & The Aces,It Mek,2kr5raWpZGAjOxEijK4CY9,,0.3,0.664,151800,0.472,0.00855,G#,0.322,-9.3,Major,0.0447,77.239,0.802
69039,Comedy,Andrew Norelli,"Andrew, Walk the Dog",6HNnSaNOcPR0P9YQ6cOWOe,,0.826,0.472,209244,0.827,0,C#,0.804,-13.7,Major,0.826,104.84,0.601
69040,World,Eluvium,the collection,4EGDexhIPk7aTuI86X3UaB,,0.875,0.251,32000,0.0985,0.886,A,0.115,-22.494,Minor,0.0385,98.94,0.0302
69041,Reggaeton,J Alvarez,Loco,50mlxFArt3y2ryP46dsDOa,,0.302,0.674,199773,0.807,0,C#,0.165,-6.165,Major,0.046,176.051,0.724
69042,Soundtrack,Gabriel Yared,Ada Plays,1sOFNCVPPtz4OBRi0PTBFf,,0.968,0.252,198160,0.0425,0.935,D,0.134,-21.916,Major,0.0329,79.339,0.0599
69043,Blues,LJ Echols,How Low Can You Go,0ECdrvaHsHzgTbO2tJAM83,,0.014,0.882,241076,0.55,0.00434,A,0.0821,-6.004,Major,0.0594,141.094,0.838
69044,Soundtrack,Patrick Doyle,All The Better For Her - Instrumental,75cLOYkjXzBwEoknJiVAPE,,0.989,0.205,77800,0.0501,0.948,C,0.0712,-23.24,Minor,0.0416,88.698,0.0379
69045,Anime,Mili,Imagined Flight,1QgJTEHcl0WTY5hrJJAkpO,,0.163,0.535,208966,0.565,0.00135,A,0.104,-7.367,Minor,0.032,116.075,0.393
69046,Ska,Anti-Flag,Trouble Follows Me - Acoustic,5PXEMt8r8hBAPgYgmi7qQI,,0.451,0.578,181024,0.542,0,C,0.122,-7.448,Major,0.0397,150.059,0.62
69047,Blues,The Wood Brothers,Blue and Green,2S07mMXPl3teviPxwaHvPl,,0.605,0.499,215947,0.423,0,C,0.0465,-7.347,Major,0.0339,137.107,0.258
69048,Anime,Ryuichi Sakamoto,"High Heels Main Theme (From ""High Heels"")",4mYR4Wou7XMtunQ6grKofS,,0.919,0.087,187827,0.289,0.904,C,0.146,-13.649,Minor,0.0437,81.432,0.0685
69049,Blues,Howlin' Wolf,How Many More Years,0MkINaEoNBJfG9G6ewd4xM,,0.926,0.657,163027,0.642,0.0165,G,0.12,-12.98,Major,0.085,110.543,0.737
69050,Folk,Passion Pit,For Sondra (It Means the World to Me),3tM2DGmfgLsjKOqw5Hg71v,,0.966,0.34,274363,0.248,0.0524,A,0.133,-10.714,Major,0.032,101.272,0.103
69051,Alternative,In Flames,(This Is Our) House,66zA4LSREJbXpSJEeouZZ3,,0.0000668,0.521,258773,0.984,0.018,A#,0.333,-4.957,Minor,0.0817,132.039,0.465
69052,Blues,Chris Robinson Brotherhood,The Chauffeur's Daughter,1Cum6cWJBU6TF7uh5WJK98,,0.033,0.29,413667,0.802,0.000635,D,0.224,-7.346,Major,0.0388,165.702,0.643
69053,Comedy,Demetri Martin,Some Jokes,7C9JhqsgvMuNaSN9BbPdCv,,0.777,0.442,429920,0.917,0,A,0.812,-11.585,Minor,0.926,95.144,0.0736
69054,Reggaeton,Nicky Jam,Siguen Haciendo Ruido (feat. Lito),6I7Ush7BWlIaZSyPOqUGr3,,0.253,0.674,216107,0.883,0,D,0.13,-3.228,Major,0.399,92.135,0.838
69055,Classical,Andy James,Afterlife,2YPuZOOm5w7ynLK4hvU1WN,,0.0002,0.335,252085,0.938,0.458,D,0.352,-2.664,Minor,0.0673,145.043,0.287
69056,Blues,The Who,Young Man Blues - Live,1bTM0cvWbGyFu8GgJxSMRo,,0.0144,0.237,287920,0.924,0.0277,A,0.59,-7.73,Major,0.137,184.661,0.492
69057,Movie,Keith David,The Christmas Story,5JdfRifr7rjLNy9kegVu5z,,0.653,0.604,207040,0.365,0.0000972,C,0.156,-12.274,Major,0.336,123.49,0.254
69058,Soul,Rexx Life Raj,The Light,7LPlqRwb45uiAy9sxL0pwa,,0.0228,0.781,199066,0.612,0,F#,0.384,-9.39,Minor,0.296,90.046,0.536
69059,Folk,The Head and the Heart,Gone,4dJgyzSITXurLeNUmtFix2,,0.563,0.37,386336,0.558,0.528,D#,0.0982,-7.345,Major,0.0253,77.283,0.283
69060,Alternative,Brent Faiyaz,Running on E.,2gh7faW4G9xZr9k5iPqcSR,,0.189,0.663,282087,0.339,0.513,A,0.0983,-11.284,Major,0.0459,133.973,0.149
69061,Reggae,The Gladiators,On The Other Side,4YiWAwK3mFnyW6M52Mvl2G,,0.0219,0.732,465800,0.661,0.13,B,0.628,-8.675,Major,0.234,150.614,0.751
69062,Ska,Tokyo Ska Paradise Orchestra,Horizon,4NqaYfrhgQ89Q9WFjPFVgA,,0.483,0.614,251960,0.786,0.697,A,0.137,-7.742,Minor,0.0312,139.975,0.724
69063,Soul,Clarence Carter,Soul Deep,11lHc1lyr3tlSHjpJtkeI0,,0.783,0.621,161587,0.504,0,C,0.13,-15.656,Major,0.0296,99.988,0.946
69064,Folk,Dr. Dog,Coming out of the Darkness,5I7svNzTVx3pJV9G8N5I5E,,0.638,0.437,220767,0.434,0.576,C,0.135,-8.871,Major,0.0339,170.776,0.481
69065,Children's Music,The Hit Crew Kids,Halloween Limbo,4A6oYmEDVRLp1HSfjI670g,,0.578,0.807,194053,0.508,0,A,0.0779,-7.587,Major,0.0286,131.186,0.738
69066,Ska,Deal's Gone Bad,Movin' On,1tuKwX79wAjoylb1Dvtrbk,,0.302,0.72,228413,0.642,0,A,0.0361,-6.589,Major,0.0435,145.986,0.971
69067,World,Shaman's Dream,The Way Through,3L0slhNSeHsh6N4Oz4p2LS,,0.209,0.627,418893,0.446,0.878,F#,0.0723,-14.199,Minor,0.0367,110.007,0.181
69068,Ska,Maldita Vecindad Y Los Hijos Del 5to. Patio,El Cocodrilo,0CPJCai61CpG9ZHl05XbGT,,0.689,0.868,268413,0.585,0.00205,E,0.147,-8.736,Major,0.031,112.13,0.74
69069,Electronic,Datsik,Wreckless (feat. AD),5qwLoaenXMaxFk4gKA6hdk,,0.0364,0.64,190400,0.937,0,D,0.183,-1.052,Major,0.127,112.278,0.276
69070,Classical,Wolfgang Amadeus Mozart,"Piano Sonata No. 14 in C Minor, K. 457: 2. Adagio",7qWa5zaKedqHgwR88oFfYi,,0.993,0.344,425000,0.0164,0.881,D#,0.0908,-31.379,Major,0.0458,71.4,0.169
69071,Reggaeton,Alkilados,Amor a Primera Vista - Radio Edit,3T5D5sAmdCg8VVRGYZuWD5,,0.0868,0.724,194494,0.726,0.00000157,D,0.0584,-6.214,Minor,0.0481,100.009,0.418
69072,Comedy,Sinbad,Women Notice Everything,1RBrZozDpvECUtTTitT0k8,,0.8,0.535,244933,0.856,0,A#,0.731,-7.657,Minor,0.943,134.704,0.16
69073,Reggae,Michael Franti & Spearhead,On And On,39hE2s3LDGCuD0EadWtDpI,,0.0388,0.582,223067,0.719,0,G,0.51,-4.676,Major,0.0684,144.172,0.326
69074,Ska,Alton Ellis,Why Did You Leave Me to Cry,6fRkGpQkYXNQQF0rYGdZCV,,0.644,0.664,158133,0.503,0.0346,A#,0.202,-9.388,Major,0.0568,88.064,0.902
69075,Electronic,San Holo,Still Looking - CESQEAUX Remix,60wtM0UQpcxkYKfwgPPBXc,,0.132,0.617,189200,0.804,0.0000459,F#,0.0901,-6.015,Major,0.086,150.055,0.642
69076,Jazz,Bill Evans,All Across The City,4IHEsg1VgH9dZE4QswwhaE,,0.994,0.334,290000,0.0187,0.946,D,0.0883,-27.786,Minor,0.0455,163.191,0.0919
69077,Reggaeton,Fuego,Energy,4SYGiuac070vaQl65KrJZY,,0.282,0.71,231970,0.632,0.000449,F#,0.153,-8.076,Minor,0.033,98.059,0.607
69078,R&B,Eric Bellinger,In My Prime,0jwFZcWyKuyXuA75vwqfVv,,0.123,0.717,225598,0.484,0,B,0.348,-8.471,Minor,0.181,92.946,0.687
69079,Anime,THE ORAL CIGARETTES,See the lights,3B9erMvGWwkKsXZYYW3yKO,,0.0139,0.515,222387,0.991,0,B,0.15,-0.634,Minor,0.226,150.013,0.492
69080,Comedy,Steve Hofstetter,Japan is Half Full,7Ermr0iBz3bjMING2pIfeC,,0.78,0.502,262125,0.632,0,A#,0.908,-18.785,Minor,0.905,99.046,0.176
69081,Soundtrack,Abel Korzeniowski,Crossroads,33WPRjoDObYGrrQJXwskOn,,0.0886,0.174,175760,0.478,0.627,A,0.166,-14.793,Minor,0.0374,88.329,0.134
69082,Jazz,Deca,The First Emanation,41lJ2xEJZiWDUGEDhEULhG,,0.276,0.615,94129,0.871,0.00271,G,0.129,-6.321,Major,0.279,151.898,0.554
69083,Country,Kenny Chesney,Jesus and Elvis,3sdiDU9CIyic6Ts2HO2ucD,,0.337,0.535,246640,0.508,0,G#,0.0821,-7.822,Major,0.0272,75.984,0.393
69084,Indie,Young Rising Sons,SAD (Clap Your Hands),22jEGuVPtvtMqKPuXdOVCh,,0.0829,0.671,152203,0.874,0.0000272,C,0.294,-4.188,Major,0.0448,109.96,0.747
69085,R&B,Lorine Chia,The Zone . Leave Me Alone,0ngcRWogDo4u6okPI3QpUq,,0.388,0.539,325870,0.494,0.415,A#,0.139,-8.118,Major,0.111,116.995,0.363
69086,Soundtrack,Danny Elfman,A Key,62eze8xI0R9B1yv3byuRAh,,0.963,0.219,78106,0.0577,0.616,C,0.19,-25.147,Minor,0.0356,72.302,0.0371
69087,World,UPPERROOM,Faithful (Live) [Spontaneous] (feat. Cindy Johnson & Ur Band),5o877jnquXGYf9orQMsPTH,,0.745,0.195,336398,0.328,0.127,C#,0.0812,-11.14,Major,0.0318,75.074,0.0383
69088,Country,Toby Keith,A Few More Cowboys,7DZW0vpqFdw69ABJ3e5I9t,,0.0238,0.592,203467,0.771,0.00361,D,0.1,-4.58,Major,0.0331,94.02,0.472
69089,Reggaeton,Schuster,Mi Regalo,3HeptxClvAaGKfh6sdsP27,,0.103,0.697,197969,0.779,0.0000927,D,0.102,-5.199,Major,0.0395,95.032,0.21
69090,Classical,Arnold Schoenberg,"5 Klavierstücke, Op. 23: No. 2, Sehr rasch",7kgTylhcRHPATj9QCRRFZ0,,0.894,0.469,83200,0.194,0.924,D#,0.106,-17.241,Major,0.101,88.634,0.223
69091,Soul,James Brown,Say It Loud - I'm Black And I'm Proud - Pt. 1 & 2,6FyYGu8GOy2pbp9GVMZF17,,0.427,0.833,285826,0.667,0.0000827,D#,0.0384,-5.639,Major,0.169,116.419,0.869
69092,Electronic,Bro Safari,Clockwork,2W95GAiuWp3VDmSCi62NPl,,0.3,0.298,267111,0.82,0.000637,G,0.297,-5.751,Major,0.102,145.945,0.0932
69093,Opera,Léo Delibes,Flower Duet - Instrumental,22owxilsJnXgzbEQyrajqx,,0.982,0.166,236101,0.0209,0.858,C,0.124,-27.342,Major,0.0455,96.541,0.0394
69094,Reggaeton,DJ Mendez,I'm Coming Home (feat. Abraham Garcia),4hSNLuMDGADpjBVO2n5gLN,,0.167,0.699,169453,0.694,0.000102,C,0.338,-6.569,Major,0.0723,128.057,0.357
69095,Ska,Derrick Morgan,Forward March,3uRdRS2pj1rbj3bUCpYOyn,,0.301,0.742,168973,0.65,0,D#,0.321,-8.17,Major,0.0476,118.299,0.861
69096,Soul,John Legend,Save Room - Live from Spotify Milan,38yNO4vxCC5YDB2orOwGpu,,0.854,0.518,205800,0.278,0,G,0.192,-9.306,Major,0.0411,76.975,0.405
69097,Opera,Richard Wagner,"Wagner: Der fliegende Holländer, WWV 63: Overture - Live",2Bpp2OUDeeEpGoI1W1vxBK,,0.972,0.144,653960,0.125,0.892,G,0.368,-21.098,Major,0.0393,90.574,0.0343
69098,Ska,Propagandhi,Tartuffe,7Ljvi6JSrvNbfDhgSpUnvP,,0.00363,0.294,156373,0.994,0.000187,B,0.201,-3.268,Major,0.286,145.706,0.162
69099,Electronic,Kraftwerk,The Telephone Call - 2009 Remastered Version,6HjfXak5P4IAXklUu71NZY,,0.0298,0.772,230200,0.98,0.528,D#,0.245,-5.522,Major,0.0508,127.364,0.642
69100,Reggae,Katchafire,One More Day,6GHzxW5wVixV3PWdIWM4nP,,0.104,0.661,230000,0.72,0.000682,G,0.412,-4.616,Minor,0.0721,176.801,0.71
69101,Country,Ronnie Milsap,Any Day Now - Remastered,35ffrwjDSwCLzRiQrtO1DB,,0.0849,0.663,222427,0.561,0.0000479,F,0.0725,-7.971,Major,0.0248,102.911,0.605
69102,Soul,Jessie Ware,Hearts,3YtjA2jnnulVmMNQTFMK6B,,0.628,0.508,213947,0.363,0.00000642,C#,0.0844,-8.39,Major,0.0457,104.725,0.168
69103,Comedy,Maria Bamford,Paula Deen's Suicide Note,2B67hzjSwZTgrW1ivf6Z4F,,0.824,0.461,99227,0.899,0.00000163,F,0.815,-8.007,Minor,0.938,140.937,0.477
69104,Jazz,Joey DeFrancesco,In the Key of the Universe,5Vui1GdMUyQNe6jbaa7hYm,,0.0285,0.405,305032,0.531,0.0751,A#,0.0859,-7.607,Major,0.0329,117.332,0.355
69105,Reggae,Vivanativa,Me Sobra El Agua,6nBgYGF2r6kpdzNaFvu8Vi,,0.00319,0.429,218000,0.848,0.0298,F#,0.162,-6.442,Minor,0.0606,116.448,0.489
69106,Reggae,Bob Marley & The Wailers,So Jah S'eh,7IlIYk9v4YKWqwwXU5IVrn,,0.336,0.833,268000,0.452,0.0157,B,0.0611,-9.838,Minor,0.136,76.232,0.888
69107,Opera,Ruggero Leoncavallo,"Pagliacci / Act 1: ""Nedda! Silvio!...E allor perché""",7ivjN3YYviZ6D2wwZ2N31c,,0.965,0.203,717467,0.172,0.00254,C#,0.126,-18.538,Major,0.046,84.164,0.0393
69108,Soundtrack,Christopher Larkin,Hollow Knight,6SSjVwARTrXkCVVxSCUlwz,,0.973,0.408,96876,0.0278,0.944,C,0.106,-26.8,Minor,0.0402,110.788,0.137
69109,World,Paul Baloche,We Come to You Jesus,38uBUqveHp0zk72TocnG9A,,0.178,0.443,331573,0.519,0.00000629,A,0.122,-8.879,Major,0.0267,87.93,0.164
69110,Reggae,Matisyahu,Late Night in Zion,48P3Lj89vAvIl5RbHe1LHm,,0.273,0.728,193760,0.665,0,G,0.377,-5.318,Major,0.0882,71.003,0.567
69111,Movie,Henri Salvador,Bal de Vienne,5S36zun6XUFeE7qFiz9Oqb,,0.654,0.467,151000,0.331,0,G,0.289,-8.49,Major,0.04,97.223,0.415
69112,Ska,The Bouncing Souls,In Sleep,4MQfntyMKsALV9J4ht9BEq,,0.0000993,0.592,279533,0.866,0.0000427,D,0.146,-5.416,Major,0.0376,116.087,0.548
69113,Comedy,Lewis Black,"The Fall, Hurricanes and Weathermen",6GgEtNNNdBatmeSMAmqIkN,,0.716,0.613,544440,0.786,0,F#,0.958,-5.474,Major,0.932,79.875,0.298
69114,Classical,Howard Shore,Hope and Memory,3qaPwSJau5W7KiObZmeJCb,,0.878,0.199,105560,0.0586,0.962,D,0.0973,-20.599,Minor,0.0384,69.165,0.151
69115,Opera,Giuseppe Verdi,I vespri siciliani: Overture,1nI7ykX0RtUW09cbJJGoIW,,0.927,0.171,567000,0.211,0.914,E,0.19,-15.498,Major,0.0575,81.465,0.128
69116,Opera,Charles Gounod,"Faust: Faust, Act I: Avant de quitter ces lieux",05MfEiTiByiuACUG65Jk5O,,0.952,0.192,254067,0.321,0.31,D#,0.118,-12.074,Major,0.0379,85.574,0.153
69117,Blues,Eagles Of Death Metal,San Berdoo Sunburn,19ISurrorwNFSEKDYPkMRK,,0.621,0.653,222240,0.829,0.0000262,D,0.242,-5.196,Major,0.125,125.296,0.59
69118,Classical,Johann Sebastian Bach,"Concerto for 2 Violins in D Minor, BWV 1043: I. Vivace",4iYIRlCTOUE26lYwtvXEDY,,0.96,0.539,232293,0.375,0.00285,G,0.469,-14.299,Minor,0.0554,93.528,0.86
69119,Children's Music,Ella Jenkins,Making Music Together,5g5ZTgssiDyh7XkddhPZO8,,0.826,0.802,72960,0.19,0,B,0.136,-18.45,Major,0.896,76.402,0.446
69120,Alternative,City Harbor,Somebody Tell Them,4eYybN3lSMXXx7FXcE3WXO,,0.0427,0.446,222773,0.795,0,A#,0.375,-5.195,Major,0.0428,74.953,0.249
69121,Soundtrack,Nicholas Hooper,Ginny,3SzHTo5GCWfjPqhE70A6Xs,,0.933,0.105,90773,0.106,0.848,E,0.114,-28.014,Minor,0.0414,90.666,0.137
69122,Reggae,Cultura Profética,Tempestad Tranquila,26ueDb1oi7WqGUJAn1AS1Q,,0.0251,0.854,217160,0.415,0.041,B,0.0698,-9.204,Major,0.108,131.992,0.527
69123,Soundtrack,Ennio Morricone,"Watch Chimes (From ""For a Few Dollars More"")",1H7wYsRa2crahZbuFZ3i5C,,0.822,0.405,73493,0.125,0.929,G,0.122,-13.708,Minor,0.0329,100.087,0.0636
69124,Ska,MxPx,Punk Rawk Show,4cbXRMGdKMjeWei1rOZz8M,,0.0224,0.313,152560,0.981,0,C,0.393,-4.277,Major,0.113,99.947,0.361
69125,Anime,Goose house,Sky,2nYxM6Di7mhBTv26K887fQ,,0.316,0.391,334081,0.472,0,C#,0.126,-4.121,Major,0.0288,175.968,0.289
69126,Country,Brooks & Dunn,If You See Him / If You See Her - with Reba McEntire,4ZNVTaUSezr7D2aCZoBQ69,,0.406,0.508,237772,0.438,0.00000332,G,0.128,-7.634,Major,0.0238,82.406,0.203
69127,Comedy,Ron White,Fat Man's Sport,2LOGRygg2bNbiszm3ZQYTG,,0.969,0.637,230653,0.52,0.00000322,D#,0.694,-12.488,Major,0.904,111.359,0.46
69128,Blues,Freddie King,Have You Ever Loved A Woman,6r99GoBd08u7ajWGpvdyxm,,0.962,0.418,765306,0.47,0.405,D,0.125,-9.442,Major,0.0577,79.024,0.377
69129,R&B,ford.,The Unknown,4FXHLmzOMGLy5jFj6ctDsn,,0.641,0.586,211597,0.528,0.641,G#,0.128,-7.62,Minor,0.274,73.973,0.139
69130,Opera,Giuseppe Verdi,La Traviata: Act I: Libiamo ne' lieti calici,0qtDRu60r0b8O53YH0G5sP,,0.964,0.294,184493,0.179,0.000025,A#,0.307,-16.921,Major,0.0568,79.34,0.25
69131,Soundtrack,Randy Edelman,The British Arrival,586dvOx61CsG5w079NCbjG,,0.913,0.198,122907,0.0712,0.942,E,0.0976,-26.588,Major,0.0433,70.575,0.049
69132,Soundtrack,The City of Prague Philharmonic Orchestra,"Main Theme (From ""Apollo 13"")",1iS1VQAGtOGoDTlLgh0n7w,,0.864,0.167,184267,0.113,0.768,A,0.105,-20.428,Major,0.0362,60.609,0.0441
69133,Comedy,Ralphie May,Couture,3V5XlTv6mIBgJRdK84WiHr,,0.804,0.672,280853,0.588,0,B,0.865,-13.438,Major,0.94,104.985,0.207
69134,Classical,Wolfgang Amadeus Mozart,"Mozart: Piano Sonata No. 11 in A Major, K. 331, ""Alla Turca"": III. Alla Turca - Allegretto",5pfeX0vK8PPMdQHXIsIBio,,0.983,0.396,204427,0.315,0.89,A,0.0915,-17.305,Major,0.0322,141.558,0.65
69135,Soundtrack,John Williams,The Blue and Grey,2qj0ZqR6y4dvENqs7PRPHO,,0.98,0.185,180800,0.00298,0.602,G,0.154,-36.395,Minor,0.0408,89.601,0.0386
69136,Jazz,Euge Groove,All For You,3pYHnGgaOSvB7NJttIYRX2,,0.394,0.711,259680,0.643,0.773,A#,0.0832,-7.187,Minor,0.0799,80.889,0.577
69137,Opera,Philharmonia Orchestra,"Rigoletto (1996 Digital Remaster), Act 3: La donna è mobile",5jolXHSe3HcacxCIlI67ls,,0.995,0.454,119760,0.00331,0.951,A,0.121,-36.652,Major,0.0466,81.87,0.659
69138,Reggaeton,Jayma & Dalex,Lento (feat. Cosculluela),3O7IEi32o3vvn4HsJ2rLxq,,0.332,0.729,252347,0.803,0,F,0.155,-4.882,Minor,0.0397,82.034,0.621
69139,Reggaeton,Vico C,Se Escaman,2JrhJ2F5BoLf2ybNhBrlln,,0.384,0.784,213507,0.879,0.00000367,G,0.0918,-3.355,Major,0.312,94.85,0.702
69140,Anime,Kensuke Ushio,svg,17OjICytA1x5SSqxlvQCqc,,0.102,0.5,122227,0.367,0.944,G,0.083,-17.977,Major,0.0285,90.053,0.175
69141,Soul,Netherfriends,Aliens Are Real Don't Tweak,04ojFLM8AWkde0iBmTEFsy,,0.498,0.572,93962,0.372,0.0000255,C#,0.11,-11.93,Major,0.0528,114.768,0.125
69142,Alternative,Nothing More,If I Were,6lk69KJgnwXwPThivRdMau,,0.000575,0.448,212293,0.925,0,D,0.379,-5.313,Minor,0.103,76.148,0.404
69143,Classical,Claude Debussy,Prelude to the Afternoon of a Faun,3xGPS59RhE5dNB3yPcMeL6,,0.964,0.0832,600080,0.0282,0.871,E,0.0651,-30.073,Major,0.0462,172.169,0.0317
69144,Blues,Jane's Addiction,Irresistible Force,0D7r6CIGNRvs0IvsDOunZr,,0.000662,0.426,240749,0.819,0.346,D#,0.113,-4.893,Minor,0.0396,170.501,0.559
69145,Blues,Wendell B,If You Don't No,0rFKiPNsh3ibIUhOCDDRHK,,0.0905,0.426,296805,0.65,0.0131,C#,0.516,-5.226,Major,0.14,133.887,0.163
69146,Ska,Masked Intruder,First Star Tonight,0YcxTTiIY9cGyG4BjjUIes,,0.0039,0.304,129621,0.958,0.000294,B,0.134,-3.421,Major,0.0624,203.96,0.734
69147,Classical,Michael Nyman,Fish Beach,6YIpBVuHZdQUmfaMd3IO8Y,,0.881,0.22,174373,0.161,0.842,D#,0.106,-17.346,Major,0.0347,141.444,0.0389
69148,Opera,Giuseppe Verdi,"Il Trovatore (1997 - Remaster), Act IV Scene One: Miserere...Quel suon, quelle preci (Coro/Leonora/Manrico)",3xaMiZMyN6GyfnwvnJYPGE,,0.947,0.316,293200,0.0244,0.0000106,D#,0.371,-26.568,Minor,0.0406,76.887,0.0828
69149,Folk,Emahoy Tsegué-Maryam Guébrou,Homesickness,185EiYT58r61hdnHxjKVzT,,0.995,0.333,193413,0.102,0.858,G#,0.115,-17.94,Major,0.0437,67.073,0.126
69150,Jazz,Ajmw,what.a.day,4HujuHdJpKDVlJn9k89Xu9,,0.0263,0.738,108276,0.305,0.924,C#,0.139,-9.607,Minor,0.0755,174.235,0.688
69151,Ska,Direct Hit!,Altered States,50Guagu1QQTRyUAM7PvQC6,,0.0000884,0.473,184547,0.93,0.171,C#,0.239,-5.253,Major,0.0325,90.022,0.533
69152,Opera,Giacomo Puccini,"Gianni Schicchi: ""Ai miei cugioni Zita e Simone""",5LDgCPN5fwBMurl3NQcPyl,,0.965,0.175,173000,0.0396,0.00474,C,0.106,-27.88,Major,0.0477,174.12,0.0754
69153,Blues,Terry Wright,On The Backroad,6hHsNIp9B5EpBbHgX7wXU3,,0.142,0.774,240080,0.681,0,C#,0.293,-6.372,Major,0.063,119.981,0.647
69154,Country,Mariya Stokes,Hands on My Body,2iU9SGhfxjN0f9Ot6BvNPU,,0.387,0.713,206310,0.539,0,C#,0.047,-5.371,Major,0.0656,75.917,0.727
69155,Comedy,Alonzo Bodden,No One Buys at Brookstone - Bonus Track,5hTksWaW6Yfpe29rXvTe07,,0.929,0.54,124960,0.531,0,E,0.668,-14.093,Minor,0.93,81.137,0.0834
69156,Dance,Troye Sivan,WILD - XXYYXX Remix,5xCkjdBL9jWykDmwIQRzFE,,0.136,0.419,212996,0.496,0,A#,0.291,-9.222,Major,0.0826,90.012,0.389
69157,Soundtrack,Maurice Jarre,Unchained Melody [Orchestral],7FKsfPuxRLpar9enQ7LmtA,,0.308,0.13,239746,0.146,0.883,D,0.171,-18.899,Major,0.0401,97.569,0.0399
69158,Anime,GARNiDELiA,Error - Instrumental,5FXcZP55Yfgv7aY8ywlVYR,,0.000829,0.483,299213,0.83,0.354,D#,0.153,-5.594,Minor,0.0529,151.961,0.445
69159,Electronic,Daft Punk,Around The World - Radio Edit,6XKvPNWlmnN0gJejCKm1k7,,0.00417,0.934,241467,0.76,0.906,G,0.0656,-5.549,Major,0.148,121.302,0.864
69160,Blues,Ella Fitzgerald,All The Things You Are,5gPetRvxQKyOjjwZX1dzbt,,0.941,0.47,195667,0.171,0.00000818,C#,0.17,-14.449,Major,0.034,110.752,0.251
69161,Jazz,Sarah Vaughan,It Don't Mean A Thing (If It Ain't Got That Swing),5rxpJIhAmQJfCiR8yFJri9,,0.839,0.5,148560,0.578,0,F,0.301,-6.195,Major,0.215,133.543,0.662
69162,Soundtrack,Thomas Newman,Mr. Smarty Man,0zc8wFEmfTKraNuyeHb3Xb,,0.954,0.417,70800,0.126,0.751,A,0.148,-25.936,Major,0.0316,101.003,0.227
69163,Blues,Stevie Ray Vaughan,Wall of Denial,4hnLubxViF8ScCBBWHUGGP,,0.00994,0.404,336360,0.779,0.0228,G#,0.0832,-8.648,Major,0.0533,118.465,0.678
69164,Dance,New Kids On The Block,I Need You,3VKY3ZZPXupIdzZ9MGCekB,,0.0954,0.542,215947,0.433,0,D,0.335,-8.576,Major,0.0238,136.854,0.372
69165,Opera,Jules Massenet,Werther: Pourquoi me reveiller?,61wAx36bFY2oL7BATmNjyz,,0.979,0.137,305827,0.0372,0.922,D,0.102,-22.841,Minor,0.0409,57.354,0.117
69166,Comedy,Andrew Dice Clay,Jerkin' Off - Live At Dangerfield's/1989,4CQMh7JxqNnqqfcWzP7EOS,,0.759,0.643,79907,0.383,0,A,0.503,-18.961,Minor,0.783,84.376,0.681
69167,Soundtrack,Hans Zimmer,Kayak For One,18mvHG2ZbVKhtFJ7xmU0u5,,0.647,0.613,90733,0.38,0.834,C,0.155,-15.15,Major,0.0375,129.444,0.761
69168,Electronic,Lemon Jelly,The Fruity Track,1LlPyrGF9MEIhyOTYoVtlG,,0.00135,0.644,272947,0.828,0.925,F#,0.113,-5.703,Major,0.0326,120.99,0.193
69169,Comedy,Paul F. Tompkins,Peanut Brittle,3DRjyn5yx7w575hs9uTbh3,,0.899,0.513,337960,0.64,0,E,0.95,-8.158,Minor,0.931,90.576,0.675
